soort;provincie;categorie;peildatum
Steenuil;Landelijk;1;
Gierzwaluw;Landelijk;2;
Huismus;Landelijk;2;
Roek;Landelijk;2;
Grote gele kwikstaart;Landelijk;3;
Kerkuil;Landelijk;3;
Oehoe;Landelijk;3;
Ooievaar;Landelijk;3;
Slechtvalk;Landelijk;3;
Boomvalk;Landelijk;4;
Buizerd;Landelijk;4;
Havik;Landelijk;4;
Ransuil;Landelijk;4;
Sperwer;Landelijk;4;
Wespendief;Landelijk;4;
Zwarte wouw;Landelijk;4;
Blauwe reiger;Landelijk;5;
Boerenzwaluw;Landelijk;5;
Bonte vliegenvanger;Landelijk;5;
Boomklever;Landelijk;5;
Boomkruiper;Landelijk;5;
Bosuil;Landelijk;5;
Brilduiker;Landelijk;5;
Draaihals;Landelijk;5;
Eidereend;Landelijk;5;
Ekster;Landelijk;5;
Gekraagde roodstaart;Landelijk;5;
Glanskop;Landelijk;5;
Grauwe vliegenvanger;Landelijk;5;
Groene specht;Landelijk;5;
Grote bonte specht;Landelijk;5;
Hop;Landelijk;5;
Huiszwaluw;Landelijk;5;
IJsvogel;Landelijk;5;
Kleine bonte specht;Landelijk;5;
Kleine vliegenvanger;Landelijk;5;
Koolmees;Landelijk;5;
Kortsnavelboomkruiper;Landelijk;5;
Oeverzwaluw;Landelijk;5;
Pimpelmees;Landelijk;5;
Raaf;Landelijk;5;
Ruigpootuil;Landelijk;5;
Spreeuw;Landelijk;5;
Tapuit;Landelijk;5;
Torenvalk;Landelijk;5;
Zeearend;Landelijk;5;
Zwarte kraai;Landelijk;5;
Zwarte mees;Landelijk;5;
Zwarte roodstaart;Landelijk;5;
Zwarte specht;Landelijk;5;
Steenuil;Drenthe;1;
Aalscholver;Drenthe;2;
Blauwe reiger;Drenthe;2;
Gierzwaluw;Drenthe;2;
Huismus;Drenthe;2;
Huiszwaluw;Drenthe;2;
Ringmus;Drenthe;2;
Roek;Drenthe;2;
Zwarte stern;Drenthe;2;
Bosuil;Drenthe;3;
Grote gele kwikstaart;Drenthe;3;
Kerkuil;Drenthe;3;
Oehoe;Drenthe;3;
Raaf;Drenthe;3;
Slechtvalk;Drenthe;3;
Zwarte specht;Drenthe;3;
Boomvalk;Drenthe;4;
Draaihals;Drenthe;4;
Havik;Drenthe;4;
Ransuil;Drenthe;4;
Rode wouw;Drenthe;4;
Sperwer;Drenthe;4;
Wespendief;Drenthe;4;
Zeearend;Drenthe;4;
Zwarte wouw;Drenthe;4;
Bergeend;Drenthe;5;
Boerenzwaluw;Drenthe;5;
Buizerd;Drenthe;5;
Gekraagde roodstaart;Drenthe;5;
Glanskop;Drenthe;5;
IJsvogel;Drenthe;5;
Kleine bonte specht;Drenthe;5;
Kokmeeuw;Drenthe;5;
Kraanvogel;Drenthe;5;
Middelste bonte specht;Drenthe;5;
Oeverzwaluw;Drenthe;5;
Paapje;Drenthe;5;
Ruigpootuil;Drenthe;5;
Scholekster;Drenthe;5;
Spreeuw;Drenthe;5;
Torenvalk;Drenthe;5;
Visdief;Drenthe;5;
Wilde zwaan;Drenthe;5;
Kerkuil;Flevoland;1;
Steenuil;Flevoland;1;
Gierzwaluw;Flevoland;2;
Huismus;Flevoland;2;
Roek;Flevoland;2;
Boerenzwaluw;Flevoland;3;
Grote gele kwikstaart;Flevoland;3;
Slechtvalk;Flevoland;3;
Torenvalk;Flevoland;3;
Bosuil;Flevoland;4;
Ransuil;Flevoland;4;
Boomvalk;Flevoland;5a;
Buizerd;Flevoland;5a;
Havik;Flevoland;5a;
Oehoe;Flevoland;5a;
Ooievaar;Flevoland;5a;
Raaf;Flevoland;5a;
Rode wouw;Flevoland;5a;
Sperwer;Flevoland;5a;
Wespendief;Flevoland;5a;
Zeearend;Flevoland;5a;
Zwarte wouw;Flevoland;5a;
Blauwe reiger;Flevoland;5b;
Draaihals;Flevoland;5b;
Groene specht;Flevoland;5b;
Grote bonte specht;Flevoland;5b;
Huiszwaluw;Flevoland;5b;
IJsvogel;Flevoland;5b;
Kleine bonte specht;Flevoland;5b;
Middelste bonte specht;Flevoland;5b;
Oeverzwaluw;Flevoland;5b;
Spreeuw;Flevoland;5b;
Tapuit;Flevoland;5b;
Zwarte specht;Flevoland;5b;
Huismus;Friesland;1;
Kerkuil;Friesland;1;
Steenuil;Friesland;1;
Aalscholver;Friesland;2;
Blauwe reiger;Friesland;2;
Dwergstern;Friesland;2;
Gierzwaluw;Friesland;2;
Grote stern;Friesland;2;
Grote zilverreiger;Friesland;2;
Huiszwaluw;Friesland;2;
Lepelaar;Friesland;2;
Noordse stern;Friesland;2;
Purperreiger;Friesland;2;
Ringmus;Friesland;2;
Roek;Friesland;2;
Stormmeeuw;Friesland;2;
Zwarte stern;Friesland;2;
Zwartkopmeeuw;Friesland;2;
Bosuil;Friesland;3;
Grote gele kwikstaart;Friesland;3;
IJsvogel;Friesland;3;
Oehoe;Friesland;3;
Ooievaar;Friesland;3;
Raaf;Friesland;3;
Slechtvalk;Friesland;3;
Torenvalk;Friesland;3;
Zwarte specht;Friesland;3;
Boomvalk;Friesland;4;
Buizerd;Friesland;4;
Draaihals;Friesland;4;
Havik;Friesland;4;
Ransuil;Friesland;4;
Sperwer;Friesland;4;
Wespendief;Friesland;4;
Zeearend;Friesland;4;
Zwarte wouw;Friesland;4;
Bergeend;Friesland;5;
Blauwe kiekendief;Friesland;5;
Boerenzwaluw;Friesland;5;
Bontbekplevier;Friesland;5;
Eider;Friesland;5;
Gekraagde roodstaart;Friesland;5;
Glanskop;Friesland;5;
Grote mantelmeeuw;Friesland;5;
Grutto;Friesland;5;
Kleine bonte specht;Friesland;5;
Kleine mantelmeeuw;Friesland;5;
Kokmeeuw;Friesland;5;
Kraanvogel;Friesland;5;
Middelste bonte specht;Friesland;5;
Oeverzwaluw;Friesland;5;
Paapje;Friesland;5;
Ruigpootuil;Friesland;5;
Scholekster;Friesland;5;
Spreeuw;Friesland;5;
Strandplevier;Friesland;5;
Visdief;Friesland;5;
Zilvermeeuw;Friesland;5;
Boomvalk;Gelderland;1;
Buizerd;Gelderland;1;
Gierzwaluw;Gelderland;1;
Grote gele kwikstaart;Gelderland;1;
Havik;Gelderland;1;
Huismus;Gelderland;1;
Kerkuil;Gelderland;1;
Oehoe;Gelderland;1;
Ooievaar;Gelderland;1;
Ransuil;Gelderland;1;
Roek;Gelderland;1;
